mbid,day,mentions
3cd89446-1133-44ca-a012-226fd562e105,2015-04-11,2.0
3cd89446-1133-44ca-a012-226fd562e105,2015-04-13,2.0
3cd89446-1133-44ca-a012-226fd562e105,2015-04-09,1.0
3cd89446-1133-44ca-a012-226fd562e105,2015-04-10,1.0
3cd89446-1133-44ca-a012-226fd562e105,2015-04-12,1.0
3cd89446-1133-44ca-a012-226fd562e105,2015-04-14,2.0
3cd89446-1133-44ca-a012-226fd562e105,2015-04-17,1.0
3cd89446-1133-44ca-a012-226fd562e105,2015-04-16,1.0
b265efb3-17ff-4d1e-a5c4-cdc3b6852003,2015-04-09,2.0
b265efb3-17ff-4d1e-a5c4-cdc3b6852003,2015-04-10,5.0
b265efb3-17ff-4d1e-a5c4-cdc3b6852003,2015-04-11,1.0
b265efb3-17ff-4d1e-a5c4-cdc3b6852003,2015-04-12,5.0
b265efb3-17ff-4d1e-a5c4-cdc3b6852003,2015-04-13,3.0
b265efb3-17ff-4d1e-a5c4-cdc3b6852003,2015-04-14,4.0
b265efb3-17ff-4d1e-a5c4-cdc3b6852003,2015-04-17,2.0
b265efb3-17ff-4d1e-a5c4-cdc3b6852003,2015-04-16,2.0
b265efb3-17ff-4d1e-a5c4-cdc3b6852003,2015-04-15,3.0
43ce2582-4366-4e6d-ac06-8cacab50bea2,2015-04-14,1.0
bd5790a1-0dc3-4eed-a4fb-3848b9738e35,2015-04-14,1.0
bd5790a1-0dc3-4eed-a4fb-3848b9738e35,2015-04-15,1.0
9c8da8a8-0a30-4930-ac9b-a1995b7bdfc2,2015-04-07,4.0
9c8da8a8-0a30-4930-ac9b-a1995b7bdfc2,2015-04-08,10.0
9c8da8a8-0a30-4930-ac9b-a1995b7bdfc2,2015-04-09,6.0
9c8da8a8-0a30-4930-ac9b-a1995b7bdfc2,2015-04-10,7.0
9c8da8a8-0a30-4930-ac9b-a1995b7bdfc2,2015-04-12,3.0
9c8da8a8-0a30-4930-ac9b-a1995b7bdfc2,2015-04-11,3.0
9c8da8a8-0a30-4930-ac9b-a1995b7bdfc2,2015-04-13,9.0
9c8da8a8-0a30-4930-ac9b-a1995b7bdfc2,2015-04-15,3.0
9c8da8a8-0a30-4930-ac9b-a1995b7bdfc2,2015-04-14,6.0
9c8da8a8-0a30-4930-ac9b-a1995b7bdfc2,2015-04-16,1.0
9c8da8a8-0a30-4930-ac9b-a1995b7bdfc2,2015-04-17,5.0
cacde2ee-668f-436b-823f-78dec5b68fb4,2015-04-14,4.0
cacde2ee-668f-436b-823f-78dec5b68fb4,2015-04-10,1.0
cacde2ee-668f-436b-823f-78dec5b68fb4,2015-04-15,1.0
e7e12773-126d-4f0a-a5c2-b4a0927f8c2d,2015-04-14,1.0
bc49b40f-a784-4180-9a8e-1bec7ffe2893,2015-04-14,1.0
bc49b40f-a784-4180-9a8e-1bec7ffe2893,2015-04-16,1.0
34fdbc74-5a4e-4cc9-aaac-250e7c832fcf,2015-04-07,1.0
34fdbc74-5a4e-4cc9-aaac-250e7c832fcf,2015-04-13,3.0
34fdbc74-5a4e-4cc9-aaac-250e7c832fcf,2015-04-08,1.0
34fdbc74-5a4e-4cc9-aaac-250e7c832fcf,2015-04-11,1.0
